,id,datum,datum_prognoze,temp_prosjek,temp_max,temp_min,vidljivost,smjer_vjetra_stupnjevi,brzina_vjetra,nalet_vjetra_brzina,relativna_vlaznost,tlak_zraka,uv_index,oblaci_pokrice,oborine_akumulirano,dubina_snijega,rosa_prosjek,prognoza,preostalo_dana
0,a75a9454-de99-4715-a9f8-5dec6d6cc31f,2020-08-16,2020-08-16,25.8,28.9,22.1,0.0,154.0,1.87768,6.64513,69.0,1009.5,7.66813,15.0,0.0,0.0,19.2,Few clouds,0
1,192c00ab-d647-4727-b058-14183a58e4af,2020-08-16,2020-08-16,27.0,28.5,23.9,0.0,202.0,1.94733,6.16573,65.0,1009.17,0.731178,31.0,0.0,0.0,19.6,Scattered clouds,0
2,0d62ca97-23d7-4d29-aa12-ca9f5fb47228,2017-10-29,2020-05-04,16.8,22.1,10.8,23.8,82.04,20.7,28.8,64.54,1024.6,,6.6,0.0,,9.8,Clear,1
3,644f1fc3-b69c-49c1-8097-26a9ce90a94a,2019-01-23,2020-05-04,0.8,5.7,-2.5,17.4,154.33,13.3,7.2,74.03,1022.1,,19.6,0.0,,-3.4,Clear,1
4,2fe022b7-9c53-4e23-8077-f3991a0818ec,2020-03-22,2020-05-04,7.7,13.1,1.8,14.5,160.75,14.5,40.7,71.92,1013.4,,27.0,0.0,,2.8,Partially cloudy,1
5,eac898ae-a167-4e9c-a0af-0e12faf06c3c,2020-05-18,2020-05-04,2.3,5.0,-3.4,9.2,118.48,10.4,0.0,75.59,1019.1,,89.1,0.1,,-1.7,"Rain, Overcast",1
6,f75e3490-e1ef-40d3-b8e4-b9636b6920cd,2017-02-01,2020-05-04,6.9,8.6,4.6,5.6,169.42,10.3,0.0,93.01,1021.1,,98.5,5.8,,5.8,"Rain, Overcast",1
7,1c757cad-a680-42b9-8c23-5fb1b16ccbc1,2017-03-07,2020-05-04,9.8,13.1,6.0,12.6,175.58,16.7,0.0,79.27,1005.8,,63.1,4.0,,6.1,"Rain, Partially cloudy",1
8,e10f5453-f255-414f-9d59-0b4e159f66f7,2017-04-12,2020-05-04,14.5,20.8,8.5,22.5,146.92,24.6,0.0,63.0,1016.9,,19.1,0.0,,7.1,Clear,1
9,05e59fb5-c0d8-4055-8849-f78abbc349d6,2017-05-15,2020-05-04,18.5,24.1,13.1,23.1,178.26,14.8,0.0,71.88,1019.5,,14.7,0.0,,13.0,Clear,1
10,53492b5c-b225-43dc-9e90-93a6ab17cb00,2017-06-19,2020-05-04,22.0,26.3,15.4,27.4,130.67,22.9,0.0,45.54,1019.9,,5.8,0.0,,9.0,Clear,1
